This is Makespan per vm [60.583333333333336, 37.11999999999999, 37.22999999999999, 105.452, 101.452]
This is Total Execution Time 341.8373333333333
This is Maximum Makespan 105,452
This is Utilization per VM [0.574510993943532, 0.35200849675681817, 0.35305162538406093, 1.0, 0.9620680499184463]
This is Average Utilization 0,6483278332005715
This is Average Utilization 0,6483278332005715


                                                  SIMULATION RESULTS

| Vm |Cloudlet| Status|DC|Host|Host PEs |VM|   VM PEs|CloudletLen|FinishedLen|CloudletPEs|StartTime|FinishTime|ExecTime
|----|--------|-------|--|----|---------|--|---------|-----------|-----------|-----------|---------|----------|--------
|  ID|      ID|       |ID|  ID|CPU cores|ID|CPU cores|         MI|         MI|  CPU cores|  Seconds|   Seconds| Seconds
|Vm 0|       0|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 0|       1|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 0|       2|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 0|       3|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
|Vm 0|      24|SUCCESS| 1|   0|        5| 0|        1|       5000|       5000|          1|     20.1|      36.8|    16.7
|Vm 0|      29|SUCCESS| 1|   0|        5| 0|        1|       4000|       4000|          1|     36.9|      50.3|    13.4
|Vm 0|      30|SUCCESS| 1|   0|        5| 0|        1|       4000|       4000|          1|     50.4|      63.9|    13.4
|Vm 0|      38|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|     64.0|      67.3|     3.4
|Vm 1|       4|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 1|       5|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 1|       6|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 1|       7|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
|Vm 1|      26|SUCCESS| 1|   0|        5| 1|        1|       5000|       5000|          1|     20.1|      36.8|    16.7
|Vm 1|      36|SUCCESS| 1|   0|        5| 1|        1|       2000|       2000|          1|     36.9|      43.7|     6.8
|Vm 2|       8|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 2|       9|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 2|      10|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 2|      11|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
|Vm 2|      21|SUCCESS| 1|   0|        5| 2|        1|       6000|       6000|          1|     20.1|      36.9|    16.8
|Vm 2|      34|SUCCESS| 1|   0|        5| 2|        1|       2000|       2000|          1|     37.0|      43.8|     6.8
|Vm 3|      12|SUCCESS| 1|   0|        5| 3|        1|       1000|       1000|          1|      0.1|       4.1|     4.0
|Vm 3|      13|SUCCESS| 1|   0|        5| 3|        1|       1000|       1000|          1|      4.2|       8.2|     4.0
|Vm 3|      14|SUCCESS| 1|   0|        5| 3|        1|       1000|       1000|          1|      8.3|      12.4|     4.1
|Vm 3|      15|SUCCESS| 1|   0|        5| 3|        1|       1000|       1000|          1|     12.6|      16.7|     4.1
|Vm 3|      22|SUCCESS| 1|   0|        5| 3|        1|       6000|       6000|          1|     20.1|      40.9|    20.8
|Vm 3|      23|SUCCESS| 1|   0|        5| 3|        1|       6000|       6000|          1|     41.0|      65.1|    24.1
|Vm 3|      28|SUCCESS| 1|   0|        5| 3|        1|       4000|       4000|          1|     65.2|      81.3|    16.1
|Vm 3|      31|SUCCESS| 1|   0|        5| 3|        1|       3000|       3000|          1|     81.4|      93.4|    12.0
|Vm 3|      33|SUCCESS| 1|   0|        5| 3|        1|       3000|       3000|          1|     93.5|     105.7|    12.1
|Vm 3|      39|SUCCESS| 1|   0|        5| 3|        1|       1000|       1000|          1|    105.8|     109.9|     4.1
|Vm 4|      16|SUCCESS| 1|   0|        5| 4|        1|       1000|       1000|          1|      0.1|       4.1|     4.0
|Vm 4|      17|SUCCESS| 1|   0|        5| 4|        1|       1000|       1000|          1|      4.2|       8.2|     4.0
|Vm 4|      18|SUCCESS| 1|   0|        5| 4|        1|       1000|       1000|          1|      8.3|      12.4|     4.1
|Vm 4|      19|SUCCESS| 1|   0|        5| 4|        1|       1000|       1000|          1|     12.6|      16.7|     4.1
|Vm 4|      20|SUCCESS| 1|   0|        5| 4|        1|       6000|       6000|          1|     20.1|      40.9|    20.8
|Vm 4|      25|SUCCESS| 1|   0|        5| 4|        1|       5000|       5000|          1|     41.0|      61.1|    20.1
|Vm 4|      27|SUCCESS| 1|   0|        5| 4|        1|       5000|       5000|          1|     61.2|      81.3|    20.1
|Vm 4|      32|SUCCESS| 1|   0|        5| 4|        1|       3000|       3000|          1|     81.4|      93.4|    12.0
|Vm 4|      35|SUCCESS| 1|   0|        5| 4|        1|       2000|       2000|          1|     93.5|     101.7|     8.1
|Vm 4|      37|SUCCESS| 1|   0|        5| 4|        1|       1000|       1000|          1|    101.8|     105.9|     4.1
