This is Makespan per vm [54.00666666666667, 74.22666666666666, 104.36666666666666, 93.552, 121.692]
This is Total Execution Time 447.844
This is Maximum Makespan 121,692
This is Utilization per VM [0.4437980037033385, 0.6099551874130318, 0.8576296442384599, 0.7687604772704862, 1.0]
This is Average Utilization 0,7360286625250633
This is Degree of Imbalance 1,9480741805926467


                                                  SIMULATION RESULTS

| Vm |Cloudlet| Status|DC|Host|Host PEs |VM|   VM PEs|CloudletLen|FinishedLen|CloudletPEs|StartTime|FinishTime|ExecTime
|----|--------|-------|--|----|---------|--|---------|-----------|-----------|-----------|---------|----------|--------
|  ID|      ID|       |ID|  ID|CPU cores|ID|CPU cores|         MI|         MI|  CPU cores|  Seconds|   Seconds| Seconds
|Vm 0|       0|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 0|       1|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 0|       2|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 0|       3|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
|Vm 0|      28|SUCCESS| 1|   0|        5| 0|        1|       5000|       5000|          1|     20.1|      36.8|    16.7
|Vm 0|      31|SUCCESS| 1|   0|        5| 0|        1|       4000|       4000|          1|     36.9|      50.3|    13.4
|Vm 0|      41|SUCCESS| 1|   0|        5| 0|        1|       2000|       2000|          1|     50.4|      57.2|     6.8
|Vm 0|      48|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|     57.3|      60.8|     3.4
|Vm 1|       4|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 1|       5|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 1|       6|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 1|       7|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
|Vm 1|      26|SUCCESS| 1|   0|        5| 1|        1|       5000|       5000|          1|     20.1|      36.8|    16.7
|Vm 1|      29|SUCCESS| 1|   0|        5| 1|        1|       5000|       5000|          1|     36.9|      53.7|    16.8
|Vm 1|      39|SUCCESS| 1|   0|        5| 1|        1|       3000|       3000|          1|     53.8|      63.9|    10.1
|Vm 1|      40|SUCCESS| 1|   0|        5| 1|        1|       2000|       2000|          1|     64.0|      70.8|     6.8
|Vm 1|      44|SUCCESS| 1|   0|        5| 1|        1|       2000|       2000|          1|     70.9|      77.6|     6.8
|Vm 1|      46|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|     77.8|      81.2|     3.4
|Vm 2|       8|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 2|       9|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 2|      10|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 2|      11|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
