This is Makespan per vm [56.86999999999999, 127.42252252252254, 239.2545945945946]
This is Total Execution Time 423.5471171171171
This is Maximum Makespan 239.2545945945946
This is Utilization per VM [0.23769658466272495, 0.5325812979200415, 1.0]
This is Average Utilization 0.5900926275275888
This is Degree of Imbalance 3.039539938651964


                                                  SIMULATION RESULTS

| Vm |Cloudlet| Status|DC|Host|Host PEs |VM|   VM PEs|CloudletLen|FinishedLen|CloudletPEs|StartTime|FinishTime|ExecTime
|----|--------|-------|--|----|---------|--|---------|-----------|-----------|-----------|---------|----------|--------
|  ID|      ID|       |ID|  ID|CPU cores|ID|CPU cores|         MI|         MI|  CPU cores|  Seconds|   Seconds| Seconds
|Vm 0|       0|SUCCESS| 1|   0|        3| 0|        1|       1000|       1000|          1|      0.1|       2.4|     2.3
|Vm 0|       3|SUCCESS| 1|   0|        3| 0|        1|       1000|       1000|          1|      2.5|       4.8|     2.3
|Vm 0|       6|SUCCESS| 1|   0|        3| 0|        1|      23232|      23232|          1|     20.1|      72.4|    52.3
|Vm 1|       1|SUCCESS| 1|   0|        3| 1|        1|       1000|       1000|          1|      0.1|       3.1|     3.0
|Vm 1|       4|SUCCESS| 1|   0|        3| 1|        1|      23232|      23232|          1|     20.1|      74.6|    54.5
|Vm 1|       5|SUCCESS| 1|   0|        3| 1|        1|      23232|      23232|          1|     74.8|     144.6|    69.9
|Vm 2|       2|SUCCESS| 1|   0|        3| 2|        1|       1000|       1000|          1|      0.1|       4.5|     4.4
|Vm 2|       7|SUCCESS| 1|   0|        3| 2|        1|      23232|      23232|          1|     20.1|     109.6|    89.5
|Vm 2|       8|SUCCESS| 1|   0|        3| 2|        1|      32232|      32232|          1|    109.7|     255.0|   145.3

