This is Makespan per vm [263.2527240752484, 265.4923132436069, 381.68650650639484, 410.6486221976837, 290.70066219566485, 324.6050400568544, 380.50539702625707, 474.00730676743336, 595.0141081689228, 494.98765888010945, 560.541524155825, 681.6731964136775, 735.9211987345242, 1197.2279190904296, 1370.915806451615, 1410.0453201970463, 1411.1173610133724, 1268.4748979591843, 1734.9345222929965, 1787.7419354838735]
This is Total Execution Time 16039.49402091072
This is Maximum Makespan 1787,7419354838735
This is Utilization per VM [0.1472543205761943, 0.14850706803594013, 0.21350201554850637, 0.2297024050546405, 0.16260773237216886, 0.18157264961678948, 0.21284134442103847, 0.26514302616005797, 0.3328299775033667, 0.2768786976774336, 0.3135472257096815, 0.3813040254208584, 0.4116484511145835, 0.669687215658666, 0.7668421147600145, 0.7887297893559794, 0.7893294513066489, 0.7095402713232526, 0.97046138922921, 1.0]
This is Average Utilization 0,4485964585422515
This is Degree of Imbalance 4,139370892015394


                                                  SIMULATION RESULTS

| Vm |Cloudlet| Status|DC|Host|Host PEs |VM|   VM PEs|CloudletLen|FinishedLen|CloudletPEs|StartTime|FinishTime|ExecTime
|----|--------|-------|--|----|---------|--|---------|-----------|-----------|-----------|---------|----------|--------
|  ID|      ID|       |ID|  ID|CPU cores|ID|CPU cores|         MI|         MI|  CPU cores|  Seconds|   Seconds| Seconds
|Vm 0|       0|SUCCESS| 1|   0|       40| 0|        1|       1000|       1000|          1|      0.1|       1.1|     1.0
|Vm 0|       1|SUCCESS| 1|   0|       40| 0|        1|       1000|       1000|          1|      1.2|       2.3|     1.1
|Vm 0|       2|SUCCESS| 1|   0|       40| 0|        1|       1000|       1000|          1|      2.4|       3.5|     1.1
|Vm 0|       3|SUCCESS| 1|   0|       40| 0|        1|       1000|       1000|          1|      3.6|       4.7|     1.1
|Vm 0|       4|SUCCESS| 1|   0|       40| 0|        1|       1000|       1000|          1|      4.8|       5.9|     1.1
|Vm 0|     106|SUCCESS| 1|   0|       40| 0|        1|       9449|       9449|          1|     20.1|      30.0|     9.9
|Vm 0|     138|SUCCESS| 1|   0|       40| 0|        1|       9449|       9449|          1|     30.1|      40.0|     9.9
|Vm 0|     155|SUCCESS| 1|   0|       40| 0|        1|       9449|       9449|          1|     40.1|      50.0|     9.9
|Vm 0|     183|SUCCESS| 1|   0|       40| 0|        1|       9449|       9449|          1|     50.1|      59.9|     9.9
|Vm 0|     184|SUCCESS| 1|   0|       40| 0|        1|       9449|       9449|          1|     60.0|      69.9|     9.9
|Vm 0|     222|SUCCESS| 1|   0|       40| 0|        1|       9449|       9449|          1|     70.0|      79.9|     9.9
|Vm 0|     234|SUCCESS| 1|   0|       40| 0|        1|       9449|       9449|          1|     80.0|      90.0|     9.9
|Vm 0|     237|SUCCESS| 1|   0|       40| 0|        1|       9449|       9449|          1|     90.1|     100.0|     9.9
|Vm 0|     245|SUCCESS| 1|   0|       40| 0|        1|       9449|       9449|          1|    100.1|     110.1|     9.9
|Vm 0|     249|SUCCESS| 1|   0|       40| 0|        1|       9449|       9449|          1|    110.2|     120.1|     9.9
|Vm 0|     321|SUCCESS| 1|   0|       40| 0|        1|       8772|       8772|          1|    120.2|     129.4|     9.2
|Vm 0|     326|SUCCESS| 1|   0|       40| 0|        1|       8772|       8772|          1|    129.5|     138.7|     9.2
