This is Makespan per vm [29.255329720159864, 27.297009366747393, 34.57632872523227, 37.65805157387031, 53.78635600780425, 36.51100080231625, 86.88160392280925, 54.99452752232439, 52.08733071424673, 13.914771556166254, 54.975628940410814, 64.57760008340284, 122.27858876385017, 89.74119777895292, 128.28209677419358, 212.90674876847282, 214.46836734693878, 167.94454545454548, 238.33038216560504, 249.5164516129032]
This is Total Execution Time 1969.9839176009527
This is Maximum Makespan 249.5164516129032
This is Utilization per VM [0.11724809939805583, 0.10939963754011556, 0.13857334256609888, 0.15092412276001965, 0.21556236336371018, 0.14632702800278263, 0.3481999016946438, 0.22040441488660728, 0.20875309174023676, 0.05576695030014879, 0.22032867406153778, 0.25881099088242787, 0.49006223025947676, 0.35966044402625735, 0.514122800099806, 0.8532773987134674, 0.8595359783316509, 0.6730800489063247, 0.9551690103999552, 1.0]
This is Average Utilization 0.3947603263966662
This is Tmax 61.29797822066981
This is Tmin 1.0395010395010396
This is Tavg 9.849919588004763
This is Degree of Imbalance 6.117661839041973


                                                  SIMULATION RESULTS

| Vm |Cloudlet| Status|DC|Host|Host PEs |VM|   VM PEs|CloudletLen|FinishedLen|CloudletPEs|StartTime|FinishTime|ExecTime
|----|--------|-------|--|----|---------|--|---------|-----------|-----------|-----------|---------|----------|--------
|  ID|      ID|       |ID|  ID|CPU cores|ID|CPU cores|         MI|         MI|  CPU cores|  Seconds|   Seconds| Seconds
|Vm 0|       0|SUCCESS| 1|   0|       40| 0|        1|       1000|       1000|          1|      0.1|       1.1|     1.0
|Vm 0|       1|SUCCESS| 1|   0|       40| 0|        1|       1000|       1000|          1|      1.2|       2.3|     1.1
|Vm 0|       2|SUCCESS| 1|   0|       40| 0|        1|       1000|       1000|          1|      2.4|       3.5|     1.1
|Vm 0|       3|SUCCESS| 1|   0|       40| 0|        1|       1000|       1000|          1|      3.6|       4.7|     1.1
|Vm 0|       4|SUCCESS| 1|   0|       40| 0|        1|       1000|       1000|          1|      4.8|       5.9|     1.1
|Vm 0|     108|SUCCESS| 1|   0|       40| 0|        1|       9449|       9449|          1|     20.1|      30.0|     9.9
|Vm 0|     151|SUCCESS| 1|   0|       40| 0|        1|       4574|       4574|          1|     30.1|      34.9|     4.9
|Vm 0|     169|SUCCESS| 1|   0|       40| 0|        1|       2858|       2858|          1|     35.0|      38.1|     3.1
|Vm 0|     176|SUCCESS| 1|   0|       40| 0|        1|       2858|       2858|          1|     38.2|      41.3|     3.1
|Vm 0|     183|SUCCESS| 1|   0|       40| 0|        1|       2858|       2858|          1|     41.4|      44.4|     3.0
|Vm 1|       5|SUCCESS| 1|   0|       40| 1|        1|       1000|       1000|          1|      0.1|       1.1|     1.0
|Vm 1|       6|SUCCESS| 1|   0|       40| 1|        1|       1000|       1000|          1|      1.2|       2.4|     1.2
|Vm 1|       7|SUCCESS| 1|   0|       40| 1|        1|       1000|       1000|          1|      2.5|       3.6|     1.1
|Vm 1|       8|SUCCESS| 1|   0|       40| 1|        1|       1000|       1000|          1|      3.7|       4.8|     1.1
|Vm 1|       9|SUCCESS| 1|   0|       40| 1|        1|       1000|       1000|          1|      5.0|       6.1|     1.1
|Vm 1|     135|SUCCESS| 1|   0|       40| 1|        1|       4951|       4951|          1|     20.1|      25.4|     5.3
