This is Makespan per vm [139.25066666666666, 139.25066666666666, 139.414, 141.47599999999997, 145.27599999999995]
This is Total Execution Time 704.6673333333332
This is Maximum Makespan 145,27599999999995
This is Utilization per VM [0.9585249226759183, 0.9585249226759183, 0.9596492194168343, 0.9738428921501143, 1.0]
This is Average Utilization 0,9701083913837569
This is Degree of Imbalance 1,9034683978539273


                                                  SIMULATION RESULTS

| Vm |Cloudlet| Status|DC|Host|Host PEs |VM|   VM PEs|CloudletLen|FinishedLen|CloudletPEs|StartTime|FinishTime|ExecTime
|----|--------|-------|--|----|---------|--|---------|-----------|-----------|-----------|---------|----------|--------
|  ID|      ID|       |ID|  ID|CPU cores|ID|CPU cores|         MI|         MI|  CPU cores|  Seconds|   Seconds| Seconds
|Vm 0|       0|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 0|       5|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 0|      10|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 0|      15|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
|Vm 0|      20|SUCCESS| 1|   0|        5| 0|        1|       6000|       6000|          1|     20.1|      36.9|    16.8
|Vm 0|      21|SUCCESS| 1|   0|        5| 0|        1|       6000|       6000|          1|     37.0|      57.1|    20.1
|Vm 0|      22|SUCCESS| 1|   0|        5| 0|        1|       6000|       6000|          1|     57.2|      77.3|    20.1
|Vm 0|      23|SUCCESS| 1|   0|        5| 0|        1|       6000|       6000|          1|     77.4|      97.5|    20.1
|Vm 0|      24|SUCCESS| 1|   0|        5| 0|        1|       6000|       6000|          1|     97.6|     117.7|    20.1
|Vm 0|      25|SUCCESS| 1|   0|        5| 0|        1|       6000|       6000|          1|    117.9|     138.0|    20.1
|Vm 0|      54|SUCCESS| 1|   0|        5| 0|        1|       2000|       2000|          1|    138.1|     144.9|     6.8
|Vm 0|      67|SUCCESS| 1|   0|        5| 0|        1|        412|        412|          1|    145.0|     146.4|     1.5
|Vm 1|       1|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 1|       6|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 1|      11|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 1|      16|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
|Vm 1|      26|SUCCESS| 1|   0|        5| 1|        1|       6000|       6000|          1|     20.1|      36.9|    16.8
|Vm 1|      27|SUCCESS| 1|   0|        5| 1|        1|       6000|       6000|          1|     37.0|      57.1|    20.1
|Vm 1|      28|SUCCESS| 1|   0|        5| 1|        1|       6000|       6000|          1|     57.2|      77.3|    20.1
|Vm 1|      29|SUCCESS| 1|   0|        5| 1|        1|       5000|       5000|          1|     77.4|      94.2|    16.8
|Vm 1|      30|SUCCESS| 1|   0|        5| 1|        1|       5000|       5000|          1|     94.3|     111.1|    16.8
|Vm 1|      31|SUCCESS| 1|   0|        5| 1|        1|       5000|       5000|          1|    111.2|     128.0|    16.8
