This is Makespan per vm [63.71666666666666, 63.71666666666666, 66.22666666666667, 66.052, 69.41199999999999]
This is Total Execution Time 329.12399999999997
This is Maximum Makespan 69.41199999999999
This is Utilization per VM [0.9179488657100597, 0.9179488657100597, 0.9541097600799096, 0.9515933844292055, 1.0]
This is Average Utilization 0.948320175185847
This is Degree of Imbalance 2.471749249522977


                                                  SIMULATION RESULTS

| Vm |Cloudlet| Status|DC|Host|Host PEs |VM|   VM PEs|CloudletLen|FinishedLen|CloudletPEs|StartTime|FinishTime|ExecTime
|----|--------|-------|--|----|---------|--|---------|-----------|-----------|-----------|---------|----------|--------
|  ID|      ID|       |ID|  ID|CPU cores|ID|CPU cores|         MI|         MI|  CPU cores|  Seconds|   Seconds| Seconds
|Vm 0|       0|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 0|       5|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 0|      10|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 0|      15|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
|Vm 0|      20|SUCCESS| 1|   0|        5| 0|        1|       6000|       6000|          1|     20.1|      36.9|    16.8
|Vm 0|      21|SUCCESS| 1|   0|        5| 0|        1|       6000|       6000|          1|     37.0|      57.1|    20.1
|Vm 0|      31|SUCCESS| 1|   0|        5| 0|        1|       3000|       3000|          1|     57.2|      67.3|    10.1
|Vm 0|      37|SUCCESS| 1|   0|        5| 0|        1|        879|        879|          1|     67.4|      70.5|     3.0
|Vm 1|       1|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 1|       6|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 1|      11|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 1|      16|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
|Vm 1|      22|SUCCESS| 1|   0|        5| 1|        1|       6000|       6000|          1|     20.1|      36.9|    16.8
|Vm 1|      23|SUCCESS| 1|   0|        5| 1|        1|       6000|       6000|          1|     37.0|      57.1|    20.1
|Vm 1|      32|SUCCESS| 1|   0|        5| 1|        1|       3000|       3000|          1|     57.2|      67.3|    10.1
|Vm 1|      38|SUCCESS| 1|   0|        5| 1|        1|        879|        879|          1|     67.4|      70.5|     3.0
|Vm 2|       2|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 2|       7|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 2|      12|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 2|      17|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
|Vm 2|      24|SUCCESS| 1|   0|        5| 2|        1|       5000|       5000|          1|     20.1|      36.1|    16.0
|Vm 2|      25|SUCCESS| 1|   0|        5| 2|        1|       5000|       5000|          1|     36.2|      53.0|    16.8
