This is Makespan per vm [38.568000000000005, 38.568, 41.03066666666666, 40.9, 44.123999999999995]
This is Total Execution Time 203.19066666666666
This is Maximum Makespan 44.123999999999995
This is Utilization per VM [0.8740821321729673, 0.8740821321729672, 0.9298945396307376, 0.9269331882875533, 1.0]
This is Average Utilization 0.9209983984528451
This is Degree of Imbalance 2.522645397098292


                                                  SIMULATION RESULTS

| Vm |Cloudlet| Status|DC|Host|Host PEs |VM|   VM PEs|CloudletLen|FinishedLen|CloudletPEs|StartTime|FinishTime|ExecTime
|----|--------|-------|--|----|---------|--|---------|-----------|-----------|-----------|---------|----------|--------
|  ID|      ID|       |ID|  ID|CPU cores|ID|CPU cores|         MI|         MI|  CPU cores|  Seconds|   Seconds| Seconds
|Vm 0|       0|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 0|       5|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 0|      10|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 0|      15|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
|Vm 0|      20|SUCCESS| 1|   0|        5| 0|        1|       6000|       6000|          1|     20.1|      36.9|    16.8
|Vm 0|      26|SUCCESS| 1|   0|        5| 0|        1|       2000|       2000|          1|     37.0|      43.8|     6.8
|Vm 0|      28|SUCCESS| 1|   0|        5| 0|        1|        369|        369|          1|     43.9|      45.2|     1.3
|Vm 1|       1|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 1|       6|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 1|      11|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 1|      16|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
|Vm 1|      21|SUCCESS| 1|   0|        5| 1|        1|       6000|       6000|          1|     20.1|      36.9|    16.8
|Vm 1|      27|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|     37.0|      40.4|     3.4
|Vm 1|      29|SUCCESS| 1|   0|        5| 1|        1|       1369|       1369|          1|     40.5|      45.2|     4.7
|Vm 2|       2|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 2|       7|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 2|      12|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 2|      17|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
|Vm 2|      22|SUCCESS| 1|   0|        5| 2|        1|       5000|       5000|          1|     20.1|      36.1|    16.0
|Vm 2|      25|SUCCESS| 1|   0|        5| 2|        1|       3000|       3000|          1|     36.2|      46.3|    10.1
|Vm 2|      30|SUCCESS| 1|   0|        5| 2|        1|        369|        369|          1|     46.4|      47.7|     1.2
|Vm 3|       3|SUCCESS| 1|   0|        5| 3|        1|       1000|       1000|          1|      0.1|       4.1|     4.0
|Vm 3|       8|SUCCESS| 1|   0|        5| 3|        1|       1000|       1000|          1|      4.2|       8.2|     4.0
|Vm 3|      13|SUCCESS| 1|   0|        5| 3|        1|       1000|       1000|          1|      8.3|      12.4|     4.1
|Vm 3|      18|SUCCESS| 1|   0|        5| 3|        1|       1000|       1000|          1|     12.6|      16.7|     4.1
|Vm 3|      23|SUCCESS| 1|   0|        5| 3|        1|       5000|       5000|          1|     20.1|      36.9|    16.8
|Vm 3|      31|SUCCESS| 1|   0|        5| 3|        1|       1946|       1946|          1|     37.0|      44.9|     7.9
|Vm 4|       4|SUCCESS| 1|   0|        5| 4|        1|       1000|       1000|          1|      0.1|       4.1|     4.0
|Vm 4|       9|SUCCESS| 1|   0|        5| 4|        1|       1000|       1000|          1|      4.2|       8.2|     4.0
|Vm 4|      14|SUCCESS| 1|   0|        5| 4|        1|       1000|       1000|          1|      8.3|      12.4|     4.1
|Vm 4|      19|SUCCESS| 1|   0|        5| 4|        1|       1000|       1000|          1|     12.6|      16.7|     4.1
|Vm 4|      24|SUCCESS| 1|   0|        5| 4|        1|       4000|       4000|          1|     20.1|      36.1|    16.0
|Vm 4|      32|SUCCESS| 1|   0|        5| 4|        1|       2946|       2946|          1|     36.2|      48.1|    11.9

