This is Makespan per vm [114.34343722387155, 114.56343722387157, 115.0043204576315, 114.56432045763145, 114.81236559373382, 115.5823655937339, 115.47236559373381, 117.63435061417206, 117.74435061417206, 118.29435061417207, 119.326662924843, 120.53666292484311, 122.68086019309199, 127.2422342675833, 130.7050846113168, 134.16510204081638, 133.94510204081635, 136.87590909090915, 139.8497041298542, 140.73548387096776]
This is Total Execution Time 2464.0784700817667
This is Maximum Makespan 140.73548387096776
This is Utilization per VM [0.8124705588016911, 0.8140337750848121, 0.81716648349376, 0.8140400509275179, 0.8158025427261731, 0.8212737997170969, 0.8204921915755359, 0.835854237883775, 0.8366358460253355, 0.8405438867331378, 0.8478790113390787, 0.8564767008962446, 0.8717123558232904, 0.9041233295807926, 0.9287287115959523, 0.9533139642581158, 0.9517507479749946, 0.972575681172225, 0.9937060667519665, 1.0]
This is Average Utilization 0.8754289971180749
This is Degree of Imbalance 2.2530399096853304


                                                  SIMULATION RESULTS

| Vm |Cloudlet| Status|DC|Host|Host PEs |VM|   VM PEs|CloudletLen|FinishedLen|CloudletPEs|StartTime|FinishTime|ExecTime
|----|--------|-------|--|----|---------|--|---------|-----------|-----------|-----------|---------|----------|--------
|  ID|      ID|       |ID|  ID|CPU cores|ID|CPU cores|         MI|         MI|  CPU cores|  Seconds|   Seconds| Seconds
|Vm 0|       0|SUCCESS| 1|   0|       20| 0|        1|       1000|       1000|          1|      0.1|       1.1|     1.0
|Vm 0|      20|SUCCESS| 1|   0|       20| 0|        1|       1000|       1000|          1|      1.2|       2.3|     1.1
|Vm 0|      40|SUCCESS| 1|   0|       20| 0|        1|       1000|       1000|          1|      2.4|       3.5|     1.1
|Vm 0|      60|SUCCESS| 1|   0|       20| 0|        1|       1000|       1000|          1|      3.6|       4.7|     1.1
|Vm 0|      80|SUCCESS| 1|   0|       20| 0|        1|       1000|       1000|          1|      4.8|       5.9|     1.1
|Vm 0|     100|SUCCESS| 1|   0|       20| 0|        1|       9449|       9449|          1|     20.1|      30.0|     9.9
|Vm 0|     101|SUCCESS| 1|   0|       20| 0|        1|       9449|       9449|          1|     30.1|      40.0|     9.9
|Vm 0|     102|SUCCESS| 1|   0|       20| 0|        1|       9449|       9449|          1|     40.1|      49.9|     9.9
|Vm 0|     103|SUCCESS| 1|   0|       20| 0|        1|       9449|       9449|          1|     50.0|      60.0|     9.9
|Vm 0|     104|SUCCESS| 1|   0|       20| 0|        1|       9449|       9449|          1|     60.1|      70.0|     9.9
|Vm 0|     105|SUCCESS| 1|   0|       20| 0|        1|       9449|       9449|          1|     70.1|      80.0|     9.9
|Vm 0|     106|SUCCESS| 1|   0|       20| 0|        1|       9449|       9449|          1|     80.1|      90.0|     9.9
|Vm 0|     107|SUCCESS| 1|   0|       20| 0|        1|       9449|       9449|          1|     90.1|     100.1|     9.9
|Vm 0|     108|SUCCESS| 1|   0|       20| 0|        1|       9449|       9449|          1|    100.2|     110.1|     9.9
|Vm 0|     109|SUCCESS| 1|   0|       20| 0|        1|       9449|       9449|          1|    110.2|     120.1|     9.9
|Vm 0|     134|SUCCESS| 1|   0|       20| 0|        1|       8772|       8772|          1|    120.2|     129.5|     9.3
|Vm 0|     292|SUCCESS| 1|   0|       20| 0|        1|        601|        601|          1|    129.6|     130.2|     0.7
