This is Makespan per vm [60.05462849029168, 60.274628490291676, 60.605511724051624, 60.49551172405163, 60.96355686015402, 61.18355686015402, 61.513556860154026, 63.02955596509919, 63.35955596509919, 63.68955596509919, 65.47785419126328, 66.24785419126327, 68.94205145951227, 72.22147745456792, 75.69048387096775, 79.76709359605911, 80.26546094299789, 83.07318181818184, 86.28788987055681, 86.7336963221697]
This is Total Execution Time 1379.8766626219863
This is Maximum Makespan 86.7336963221697
This is Utilization per VM [0.692402503719207, 0.6949390034803011, 0.6987539364047656, 0.6974856865242186, 0.7028820336874232, 0.7054185334485173, 0.7092232830901587, 0.726702062033397, 0.7305068116750383, 0.7343115613166796, 0.754929825059545, 0.7638075742233746, 0.7948704411654393, 0.8326807286790063, 0.8726767920718809, 0.9196782447708287, 0.9254241932092258, 0.9577959356143315, 0.9948600547363166, 1.0]
This is Average Utilization 0.7954674602454828
This is Degree of Imbalance 2.7183559896447336


                                                  SIMULATION RESULTS

| Vm |Cloudlet| Status|DC|Host|Host PEs |VM|   VM PEs|CloudletLen|FinishedLen|CloudletPEs|StartTime|FinishTime|ExecTime
|----|--------|-------|--|----|---------|--|---------|-----------|-----------|-----------|---------|----------|--------
|  ID|      ID|       |ID|  ID|CPU cores|ID|CPU cores|         MI|         MI|  CPU cores|  Seconds|   Seconds| Seconds
|Vm 0|       0|SUCCESS| 1|   0|       20| 0|        1|       1000|       1000|          1|      0.1|       1.1|     1.0
|Vm 0|      20|SUCCESS| 1|   0|       20| 0|        1|       1000|       1000|          1|      1.2|       2.3|     1.1
|Vm 0|      40|SUCCESS| 1|   0|       20| 0|        1|       1000|       1000|          1|      2.4|       3.5|     1.1
|Vm 0|      60|SUCCESS| 1|   0|       20| 0|        1|       1000|       1000|          1|      3.6|       4.7|     1.1
|Vm 0|      80|SUCCESS| 1|   0|       20| 0|        1|       1000|       1000|          1|      4.8|       5.9|     1.1
|Vm 0|     100|SUCCESS| 1|   0|       20| 0|        1|       9449|       9449|          1|     20.1|      30.0|     9.9
|Vm 0|     101|SUCCESS| 1|   0|       20| 0|        1|       9449|       9449|          1|     30.1|      40.0|     9.9
|Vm 0|     102|SUCCESS| 1|   0|       20| 0|        1|       9449|       9449|          1|     40.1|      50.0|     9.9
|Vm 0|     103|SUCCESS| 1|   0|       20| 0|        1|       9449|       9449|          1|     50.1|      60.0|     9.9
|Vm 0|     104|SUCCESS| 1|   0|       20| 0|        1|       9449|       9449|          1|     60.1|      70.0|     9.9
|Vm 0|     151|SUCCESS| 1|   0|       20| 0|        1|       4574|       4574|          1|     70.1|      75.0|     4.8
|Vm 0|     193|SUCCESS| 1|   0|       20| 0|        1|        294|        294|          1|     75.1|      75.4|     0.3
|Vm 1|       1|SUCCESS| 1|   0|       20| 1|        1|       1000|       1000|          1|      0.1|       1.1|     1.0
|Vm 1|      21|SUCCESS| 1|   0|       20| 1|        1|       1000|       1000|          1|      1.2|       2.4|     1.2
|Vm 1|      41|SUCCESS| 1|   0|       20| 1|        1|       1000|       1000|          1|      2.5|       3.6|     1.1
|Vm 1|      61|SUCCESS| 1|   0|       20| 1|        1|       1000|       1000|          1|      3.7|       4.8|     1.1
|Vm 1|      81|SUCCESS| 1|   0|       20| 1|        1|       1000|       1000|          1|      5.0|       6.1|     1.1
