This is Makespan per vm [90.91666666666666, 84.22999999999999, 87.58666666666666, 93.472, 89.564]
This is Total Execution Time 445.7693333333333
This is Maximum Makespan 93,472
This is Utilization per VM [0.972662044961771, 0.9011254707292022, 0.9370364030583134, 1.0, 0.9581906881205067]
This is Average Utilization 0,9538029213739586
This is Degree of Imbalance 1,9571407633843518


                                                  SIMULATION RESULTS

| Vm |Cloudlet| Status|DC|Host|Host PEs |VM|   VM PEs|CloudletLen|FinishedLen|CloudletPEs|StartTime|FinishTime|ExecTime
|----|--------|-------|--|----|---------|--|---------|-----------|-----------|-----------|---------|----------|--------
|  ID|      ID|       |ID|  ID|CPU cores|ID|CPU cores|         MI|         MI|  CPU cores|  Seconds|   Seconds| Seconds
|Vm 0|       0|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 0|       1|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 0|       2|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 0|       3|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
|Vm 0|      21|SUCCESS| 1|   0|        5| 0|        1|       6000|       6000|          1|     20.1|      40.1|    20.0
|Vm 0|      27|SUCCESS| 1|   0|        5| 0|        1|       5000|       5000|          1|     40.2|      57.0|    16.8
|Vm 0|      30|SUCCESS| 1|   0|        5| 0|        1|       4000|       4000|          1|     57.1|      70.6|    13.4
|Vm 0|      38|SUCCESS| 1|   0|        5| 0|        1|       3000|       3000|          1|     70.7|      80.8|    10.1
|Vm 0|      39|SUCCESS| 1|   0|        5| 0|        1|       3000|       3000|          1|     80.9|      91.0|    10.1
|Vm 0|      43|SUCCESS| 1|   0|        5| 0|        1|       2000|       2000|          1|     91.1|      97.9|     6.8
|Vm 1|       4|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 1|       5|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 1|       6|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 1|       7|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
|Vm 1|      20|SUCCESS| 1|   0|        5| 1|        1|       6000|       6000|          1|     20.1|      40.1|    20.0
|Vm 1|      25|SUCCESS| 1|   0|        5| 1|        1|       5000|       5000|          1|     40.2|      57.0|    16.8
|Vm 1|      32|SUCCESS| 1|   0|        5| 1|        1|       4000|       4000|          1|     57.1|      70.6|    13.4
|Vm 1|      35|SUCCESS| 1|   0|        5| 1|        1|       3000|       3000|          1|     70.7|      80.8|    10.1
|Vm 1|      42|SUCCESS| 1|   0|        5| 1|        1|       2000|       2000|          1|     80.9|      87.7|     6.8
|Vm 1|      49|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|     87.8|      91.2|     3.4
|Vm 2|       8|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 2|       9|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
