This is Makespan per vm [53.266889492054545, 54.91767766939444, 55.248560903154385, 54.29062986867164, 57.8876983102357, 54.61581786191689, 56.48660603925678, 63.073116729847655, 64.02876747119856, 68.0144194434902, 69.23475645718935, 71.35198372470015, 85.60260635915809, 86.45086991010048, 86.32249999999999, 97.2449261083744, 100.4134693877551, 101.74204545454546, 93.75471337579617, 94.45890692418327]
This is Total Execution Time 1468.4069614910234
This is Maximum Makespan 101.74204545454546
This is Utilization per VM [0.5235484430657746, 0.5397736739422013, 0.5430258518621721, 0.5336105601781582, 0.5689653481175366, 0.5368067608422242, 0.5551943229261386, 0.6199316757203035, 0.6293245549088574, 0.6684986441900904, 0.6804930660463362, 0.7013028232912571, 0.8413690326031643, 0.8497064269139694, 0.8484447075380026, 0.9557988113362611, 0.9869417204966268, 1.0, 0.9214942844616022, 0.9284156466697338]
This is Average Utilization 0.7216323177555205
This is Tmax 45.498807512210746
This is Tmin 1.0395010395010396
This is Tavg 7.342034807455117
This is Degree of Imbalance 6.055447520837907


                                                  SIMULATION RESULTS

| Vm |Cloudlet| Status|DC|Host|Host PEs |VM|   VM PEs|CloudletLen|FinishedLen|CloudletPEs|StartTime|FinishTime|ExecTime
|----|--------|-------|--|----|---------|--|---------|-----------|-----------|-----------|---------|----------|--------
|  ID|      ID|       |ID|  ID|CPU cores|ID|CPU cores|         MI|         MI|  CPU cores|  Seconds|   Seconds| Seconds
|Vm 0|       0|SUCCESS| 1|   0|       20| 0|        1|       1000|       1000|          1|      0.1|       1.1|     1.0
|Vm 0|       1|SUCCESS| 1|   0|       20| 0|        1|       1000|       1000|          1|      1.2|       2.3|     1.1
|Vm 0|       2|SUCCESS| 1|   0|       20| 0|        1|       1000|       1000|          1|      2.4|       3.5|     1.1
|Vm 0|       3|SUCCESS| 1|   0|       20| 0|        1|       1000|       1000|          1|      3.6|       4.7|     1.1
|Vm 0|       4|SUCCESS| 1|   0|       20| 0|        1|       1000|       1000|          1|      4.8|       5.9|     1.1
|Vm 0|     100|SUCCESS| 1|   0|       20| 0|        1|       9449|       9449|          1|     20.1|      30.0|     9.9
|Vm 0|     113|SUCCESS| 1|   0|       20| 0|        1|       9449|       9449|          1|     30.1|      40.0|     9.9
|Vm 0|     128|SUCCESS| 1|   0|       20| 0|        1|       8772|       8772|          1|     40.1|      49.3|     9.2
|Vm 0|     147|SUCCESS| 1|   0|       20| 0|        1|       4951|       4951|          1|     49.4|      54.6|     5.2
|Vm 0|     151|SUCCESS| 1|   0|       20| 0|        1|       4574|       4574|          1|     54.7|      59.5|     4.8
|Vm 0|     172|SUCCESS| 1|   0|       20| 0|        1|       2858|       2858|          1|     59.6|      62.7|     3.1
|Vm 0|     184|SUCCESS| 1|   0|       20| 0|        1|       2741|       2741|          1|     62.8|      65.7|     2.9
|Vm 0|     185|SUCCESS| 1|   0|       20| 0|        1|       2741|       2741|          1|     65.8|      68.7|     2.9
|Vm 1|       5|SUCCESS| 1|   0|       20| 1|        1|       1000|       1000|          1|      0.1|       1.1|     1.0
|Vm 1|       6|SUCCESS| 1|   0|       20| 1|        1|       1000|       1000|          1|      1.2|       2.4|     1.2
|Vm 1|       7|SUCCESS| 1|   0|       20| 1|        1|       1000|       1000|          1|      2.5|       3.6|     1.1
